City,Cloudiness,Country,Date,Humidity,Lat,Long,Max temp,Wind Speed
Yellowknife,75,CA,1592241890,62,62.46,-114.35,57.2,24.16
Aswān,0,EG,1592242255,9,24.09,32.91,100.4,8.05
Upernavik,100,GL,1592242029,88,72.79,-56.15,34.54,2.15
Varca,75,IN,1592242255,83,15.22,73.92,84.2,12.75
Antonina,90,BR,1592242255,77,-25.43,-48.71,60.8,9.17
Cravo Norte,92,CO,1592242256,82,6.3,-70.2,78.89,2.04
Kapaa,40,US,1592242029,83,22.08,-159.32,77.0,14.99
Yining,81,CN,1592242256,89,29.04,114.56,77.02,2.24
Carnarvon,0,AU,1592242256,27,-24.87,113.63,66.7,17.87
Rikitea,61,PF,1592242030,82,-23.12,-134.97,75.6,14.18
Clyde River,75,CA,1592242030,93,70.47,-68.59,32.0,20.8
Provideniya,77,RU,1592242030,55,64.38,-173.3,55.18,3.65
La Ronge,75,CA,1592242257,49,55.1,-105.28,71.6,6.93
Mehamn,75,NO,1592242257,81,71.04,27.85,42.8,22.95
Cherskiy,100,RU,1592242031,49,68.75,161.3,65.17,3.78
Bonfim,63,BR,1592242257,62,3.08,-59.95,86.97,2.1
Saint Paul Harbor,1,US,1592242257,71,57.79,-152.41,51.8,5.82
Busselton,100,AU,1592242031,78,-33.65,115.33,57.0,5.55
Sitka,75,US,1592242031,81,57.05,-135.33,51.8,4.7
Albany,19,US,1592242248,32,42.6,-73.97,73.99,2.53
Zhigansk,89,RU,1592242032,53,66.77,123.37,57.88,22.35
Nago,1,JP,1592242258,83,26.59,127.98,82.4,11.41
Lavrentiya,71,RU,1592242032,64,65.58,-171.0,47.82,2.91
Kaitangata,0,NZ,1592242032,78,-46.28,169.85,45.0,4.0
Torbay,90,CA,1592242032,100,47.67,-52.73,54.0,4.7
Hermanus,60,ZA,1592241792,85,-34.42,19.23,55.99,1.01
Ust'-Omchug,6,RU,1592242259,76,61.15,149.63,51.4,1.28
George Town,20,MY,1592241918,88,5.41,100.34,84.2,4.7
Mataura,5,NZ,1592242259,90,-46.19,168.86,43.27,3.89
Hithadhoo,95,MV,1592241793,75,-0.6,73.08,85.01,14.16
Nikolskoye,28,RU,1592242033,53,59.7,30.79,77.0,6.71
Corowa,93,AU,1592242260,96,-36.03,146.38,46.0,6.13
Atar,0,MR,1592242260,9,20.52,-13.05,110.08,19.08
Zvishavane,78,ZW,1592242260,49,-20.33,30.07,58.14,6.98
Avarua,75,CK,1592242034,68,-21.21,-159.78,69.8,10.29
Beringovskiy,92,RU,1592242261,88,63.05,179.32,41.63,4.27
Bluff,32,NZ,1592242261,90,-46.6,168.33,49.01,9.84
Pangnirtung,75,CA,1592242035,75,66.15,-65.71,41.0,18.34
Port Moresby,20,PG,1592242261,94,-9.44,147.18,77.0,5.82
Kirakira,19,SB,1592242262,82,-10.45,161.92,79.27,12.1
Gazli,0,UZ,1592242262,11,40.13,63.45,90.48,6.8
Bulgan,96,MN,1592242262,68,48.81,103.53,56.41,3.18
Ponta do Sol,75,PT,1592242036,83,32.67,-17.1,71.6,11.41
Hobart,40,AU,1592241818,58,-42.88,147.33,57.0,9.17
Port Alfred,65,ZA,1592241801,93,-33.59,26.89,57.0,1.99
Nemuro,98,JP,1592242263,96,43.32,145.57,53.19,12.21
Cedar City,1,US,1592242263,10,37.68,-113.06,78.8,16.11
Singaparna,63,ID,1592242263,91,-7.35,108.11,72.7,1.45
Acapulco de Juárez,5,MX,1592242203,70,16.86,-99.89,87.8,8.05
East London,62,ZA,1592241818,74,-33.02,27.91,62.13,8.84
Khatanga,100,RU,1592242037,77,71.97,102.5,45.77,20.27
Micomeseng,99,GQ,1592242264,99,2.15,10.62,71.49,2.48
Severo-Kuril'sk,100,RU,1592242038,92,50.68,156.12,40.91,14.32
Kabare,44,CD,1592242264,83,-2.47,28.82,60.66,1.68
New Norfolk,99,AU,1592242038,79,-42.78,147.06,57.0,1.99
Nuuk,90,GL,1592242038,86,64.18,-51.72,37.4,1.12
Atuona,43,PF,1592241798,76,-9.8,-139.03,79.79,13.15
Darnah,0,LY,1592242265,57,32.77,22.64,76.57,11.7
Yulara,89,AU,1592242039,49,-25.24,130.99,48.2,9.17
Ushuaia,75,AR,1592242039,80,-54.8,-68.3,39.2,8.05
Klaksvík,90,FO,1592241851,93,62.23,-6.59,53.6,6.93
Southampton,20,GB,1592242240,49,50.9,-1.4,70.0,5.82
Jamestown,90,US,1592241907,52,42.1,-79.24,66.99,3.36
Mandera,97,KE,1592242266,44,3.94,41.87,86.25,16.37
Úrkút,75,HU,1592242266,64,47.09,17.64,69.8,13.87
Chulym,6,RU,1592242266,91,55.1,80.96,44.94,5.79
Isfana,5,KG,1592242267,24,39.84,69.53,80.6,6.71
Tokur,98,RU,1592242267,92,53.13,132.9,40.14,3.76
Champerico,2,GT,1592242267,59,14.3,-91.92,89.6,6.93
Airai,23,TL,1592242267,100,-8.93,125.41,58.41,3.96
Kavaratti,100,IN,1592242267,79,10.57,72.64,84.56,20.87
Hede,100,CN,1592242267,83,33.77,120.25,77.34,0.47
Tiksi,100,RU,1592242041,60,71.69,128.87,52.07,11.39
Celestún,0,MX,1592242038,68,20.87,-90.4,84.83,1.99
Castro,90,BR,1592242042,80,-24.79,-50.01,62.1,8.99
Chokurdakh,16,RU,1592241808,53,70.63,147.92,65.55,3.69
Priargunsk,10,RU,1592242042,57,50.37,119.1,62.22,2.8
Salmās,40,IR,1592242269,40,38.2,44.77,71.6,2.24
Puerto Suárez,0,BO,1592242269,54,-18.95,-57.8,82.4,4.7
Sadovo,40,BG,1592242269,69,42.13,24.93,73.4,9.17
Verkhoyansk,94,RU,1592242269,57,67.54,133.38,60.17,9.64
Barrow,1,US,1592241958,80,71.29,-156.79,39.2,8.05
Vaini,20,TO,1592242270,73,-21.2,-175.2,69.8,12.75
Punta Arenas,40,CL,1592241870,81,-53.15,-70.92,42.8,5.82
Ixtapa,5,MX,1592242043,66,20.7,-105.2,84.2,6.93
Ilulissat,75,GL,1592242044,80,69.22,-51.1,35.6,3.36
Hirado,75,JP,1592242270,86,33.36,129.55,71.01,7.99
Tasiilaq,75,GL,1592242270,75,65.61,-37.64,42.8,12.75
Ruska Poliana,61,UA,1592242271,87,49.42,31.92,69.58,5.17
Esperance,90,AU,1592242044,87,-33.87,121.9,50.0,8.05
Zhangjiakou,33,CN,1592242271,27,40.81,114.88,71.71,3.91
Manta,90,EC,1592242271,83,-0.95,-80.73,77.0,13.87
Qaanaaq,72,GL,1592242045,84,77.48,-69.36,35.62,5.91
Athens,33,GR,1592242271,51,37.98,23.72,82.99,1.01
Teseney,96,ER,1592242272,36,15.11,36.66,93.09,2.8
Leningradskiy,0,RU,1592242045,86,69.38,178.42,42.58,2.06
Chui,92,UY,1592242272,67,-33.7,-53.46,58.44,11.01
Egvekinot,9,RU,1592242272,76,66.32,-179.17,45.99,2.35
Elko,76,US,1592242272,22,41.0,-115.5,73.99,4.0
Lusambo,15,CD,1592242273,43,-4.97,23.45,74.19,2.15
Zrnovci,40,MK,1592242273,28,41.85,22.44,82.4,3.36
Tezu,92,IN,1592242273,82,27.92,96.17,77.45,3.74
Saskylakh,74,RU,1592242273,62,71.92,114.08,53.22,10.07
Oodweyne,80,SO,1592242273,59,9.41,45.06,76.64,14.12
Desbiens,75,CA,1592242274,39,48.42,-71.95,66.2,5.82
Bengkulu,65,ID,1592241839,81,-3.8,102.27,78.35,4.29
Hamilton,75,US,1592241774,60,39.18,-84.53,75.0,5.53
Bambous Virieux,75,MU,1592241836,78,-20.34,57.76,71.6,16.11
Moïssala,68,TD,1592242274,79,8.34,17.77,76.78,5.86
Puerto Ayora,40,EC,1592241800,69,-0.74,-90.35,78.8,13.87
Deputatsky,67,RU,1592242274,49,69.3,139.9,59.32,5.84
Cape Town,0,ZA,1592241884,76,-33.93,18.42,59.0,10.29
Swadlincote,20,GB,1592242275,60,52.77,-1.56,72.0,4.7
Porto-Novo,20,BJ,1592242275,83,6.5,2.6,82.4,9.17
San Julián,0,MX,1592242018,37,21.02,-102.17,72.99,7.4
Mullovka,6,RU,1592242275,63,54.2,49.4,64.4,4.47
Naze,40,JP,1592242275,100,28.37,129.48,78.8,8.05
Khani,40,GE,1592242275,74,41.96,42.96,78.8,10.29
Kloulklubed,75,PW,1592242276,94,7.04,134.26,75.2,10.38
Hilo,1,US,1592242205,83,19.73,-155.09,71.6,3.36
Hengyang,58,CN,1592242276,79,26.89,112.61,78.73,6.58
Ribeira Grande,40,PT,1592242049,68,38.52,-28.7,66.2,10.29
Ocosingo,40,MX,1592242276,78,17.07,-92.25,82.4,3.47
Irbeyskoye,83,RU,1592242276,84,55.64,95.45,51.87,2.73
Sarkand,34,KZ,1592242277,25,45.41,79.92,70.83,9.8
Kavieng,100,PG,1592242277,78,-2.57,150.8,82.11,9.86
Saint George,1,US,1592241812,15,37.1,-113.58,87.01,4.7
Yaring,100,TH,1592242277,79,6.87,101.37,81.16,3.15
Eyl,17,SO,1592242051,52,7.98,49.82,86.41,22.03
Goderich,0,CA,1592242277,49,43.75,-81.72,73.99,1.99
Padang,99,ID,1592242051,81,-0.95,100.35,79.07,5.01
Dustlik,0,UZ,1592242278,16,40.52,68.04,81.32,8.1
Bundaberg,30,AU,1592242278,88,-24.85,152.35,62.6,6.93
Isabela,88,PH,1592242278,82,6.71,121.97,79.03,1.14
Norman Wells,75,CA,1592242052,39,65.28,-126.83,62.6,10.29
Banjar,40,ID,1592242279,78,-8.19,114.97,82.4,9.17
Njombe,57,TZ,1592242279,81,-9.33,34.77,51.58,5.95
Lavumisa,0,SZ,1592242279,55,-27.31,31.89,66.2,2.24
Mount Gambier,75,AU,1592241829,93,-37.83,140.77,53.6,10.29
Rupert,1,US,1592242279,34,42.62,-113.68,68.0,9.31
Arraial do Cabo,40,BR,1592242280,69,-22.97,-42.03,75.2,6.93
Ambilobe,97,MG,1592242280,83,-13.2,49.05,70.45,3.27
Baghdad,22,IQ,1592242175,19,33.34,44.4,98.6,4.7
Tabou,96,CI,1592242280,83,4.42,-7.35,79.18,7.94
Hay River,90,CA,1592242280,93,60.82,-115.8,41.0,10.29
Praia da Vitória,90,PT,1592242054,93,38.73,-27.07,64.4,11.79
